foodid,Time,Date,DateFormat,DateTime,Month,Day,Count,Year,WeekDay,Season,Building Number,lat,lon,Room Number,Email Subject
199,5:16:59 PM,11/12/17,11/12/17,11/12/17 5:16 PM,Nov,12,1,2017,Sun,Autumn,e14,42.36027778,71.08722222,6,Redbull 6th Floor Media Lab
200,4:45:12 PM,11/13/16,11/13/16,11/13/16 4:45 PM,Nov,13,1,2016,Sun,Autumn,62,42.36,71.08861111,1,Pizza in Talbot Lounge
201,8:04:11 PM,11/13/16,11/13/16,11/13/16 8:04 PM,Nov,13,1,2016,Sun,Autumn,w20,42.35888889,71.09472222,208,Indian food in Lobdell W20 -208
202,8:04:33 PM,11/13/16,11/13/16,11/13/16 8:04 PM,Nov,13,1,2016,Sun,Autumn,10,42.35944444,71.09194444,1,Thelonius and drinks in lobby 10
203,4:14:22 PM,11/13/17,11/13/17,11/13/17 4:14 PM,Nov,13,1,2017,Mon,Autumn,66,42.36083333,71.08888889,110,Lobby by 66-110
204,2:36:56 PM,11/14/16,11/14/16,11/14/16 2:36 PM,Nov,14,1,2016,Mon,Autumn,8,42.36,71.09083333,219,Free Food in 8-219
205,4:28:19 PM,11/14/16,11/14/16,11/14/16 4:28 PM,Nov,14,1,2016,Mon,Autumn,3,42.35888889,71.09222222,1,Stata Ctr. 3-5pm fall treats
206,4:35:29 PM,11/14/16,11/14/16,11/14/16 4:35 PM,Nov,14,1,2016,Mon,Autumn,6,42.35944444,71.09027778,120,"Outside 6-120_ Polenta, Bread Rolls & Desserts"
207,6:03:46 PM,11/14/17,11/14/17,11/14/17 6:03 PM,Nov,14,1,2017,Tue,Autumn,e14,42.36027778,71.08722222,304,1.4E-303
208,7:02:25 PM,11/14/17,11/14/17,11/14/17 7:02 PM,Nov,14,1,2017,Tue,Autumn,5,42.35861111,71.09277778,233,Chips and a few cookies and drinks 5-233
209,7:54:13 PM,11/14/17,11/14/17,11/14/17 7:54 PM,Nov,14,1,2017,Tue,Autumn,46,42.36222222,71.09138889,3189,Sandwiches in 46-3189
210,9:01:06 PM,11/14/17,11/14/17,11/14/17 9:01 PM,Nov,14,1,2017,Tue,Autumn,10,42.35944444,71.09194444,1,Pasta beach’s pizza lobby 10
211,6:21:55 PM,11/15/16,11/15/16,11/15/16 6:21 PM,Nov,15,1,2016,Tue,Autumn,13,42.35972222,71.0925,2041,Two giant bags of Goldfish in front of 13-2041. eom
